client_name,scope,last_delivery_date,deliverables_count
ACME CO,Website redesign + monthly landing pages,2026-08-15,14
Bluebrid Creative,Brand identity refresh and social templates,2026-08-10,9
Fresh and Co Marketing,Paid media management and quarterly campaign reports,2026-08-22,11
Vantage Point Studio,Product photography and seasonal lookbook,2026-06-30,6
Harbor View Logistics,Warehouse ops dashboard and monthly reporting,2026-08-18,8
Pinnacle Systems,Internal tooling support and ad-hoc dev requests,2026-08-25,20
Thornwood Brands,Packaging design and retail rollout kit,2026-08-05,7
Meridian Health Partners,Patient intake microsite with HIPAA-compliant forms,2026-08-12,5
Meridian Home Partners,Real estate listing site with virtual tour integration,2026-08-19,10
Sterling Oak Advisors,Financial advisory content hub and quarterly newsletter,2026-08-21,13
Copperfield Ash,Retail signage system and seasonal refresh,2026-07-30,4
Ironwood Creative Co,Full brand system and ongoing creative retainer,2026-08-24,16
Lighthouse Digital,Podcast production and video editing,2026-08-16,12
Amberfield Sons Ltd,Legacy website maintenance and small feature requests,2026-08-11,3
