client_name,contract_start,contract_end,mrr
Acme Co.,2026-03-10,2026-09-10,4200
Bluebird Creative Ltd,2026-02-28,2026-08-29,3100
Fresh & Co. Marketing,2026-04-13,2026-10-13,2600
Vantage Point Studios,2026-01-15,2026-07-15,5400
Harborview Logistics Inc,2026-06-01,2026-12-01,7800
Pinnacle Systems Group,2026-05-01,,3900
Thornwood Brand Partners,2026-03-20,2026-09-20,4600
Meridian Health Partners,2026-03-05,2026-09-05,5100
Meridian Home Partners LLC,2026-05-01,2026-11-01,3300
Sterling Oak Advisors,2024-01-01,2024-12-31,2900
Sterling Oak Advisors,2026-06-01,2026-09-01,3400
Copperfield & Ash Studio,2026-02-20,2026-08-20,3700
Ironwood Creative Collective,2026-04-05,2026-10-05,4400
Lighthouse Digital Group,2026-05-20,2026-11-20,6100
Amberfield & Sons,2026-03-25,2026-09-25,2800
